id_inmueble,id_plataforma,url_anuncio,pais,departamento,ciudad,barrios,direccion,zona_ciudad,latitud,longitud,tipo_propiedad,area_total_m2,num_habitaciones,num_banos,num_parqueaderos,estrato,estado,antiguedad_construccion,precio_venta,precio_administracion,fecha_publicacion,fecha_actualizacion,fecha_ingreso,nombre_contacto
12782-M5672544,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-san-bernardo-3-habitaciones-1-banos/12782-M5672544,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.2283007,-75.5948737,Apartamento,53.0,3.0,1,0,3,Usado,Entre 10 y 20 años,235000000,,2025-07-25T03:10:14.000Z,2025-08-20T14:47:52.000Z,2025-03-31T17:03:58.000Z,
19797-M5693787,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-belen-5-habitaciones-4-banos-2-garajes/19797-M5693787,Colombia,Antioquia,Medellín,BELEN,,,6.2259041,-75.5946953,Casa,220.0,5.0,4,2,4,Usado,Entre 0 y 5 años,1350000000,,2025-08-16T03:10:10.000Z,2025-08-20T14:49:41.000Z,2025-04-10T17:26:55.000Z,
19797-M5703038,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-san-bernardo-5-habitaciones-4-banos-1-garajes/19797-M5703038,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.22665854,-75.59447606,Casa,268.0,5.0,4,1,3,Usado,Entre 5 y 10 años,1100000000,,2025-08-01T21:30:53.000Z,2025-08-20T14:49:41.000Z,2025-04-16T08:57:40.000Z,
20033-M5778075,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-san-bernardo-5-habitaciones-4-banos-1-garajes/20033-M5778075,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.22665854,-75.59447606,Casa,268.0,5.0,4,1,3,Usado,Entre 5 y 10 años,1100000000,,2025-07-24T03:10:44.000Z,2025-08-20T14:31:02.000Z,2025-05-27T17:58:37.000Z,
20033-M5786669,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-la-palma-5-habitaciones-4-banos-4-garajes/20033-M5786669,Colombia,Antioquia,Medellín,LA PALMA,,Suroccidente,6.22780095,-75.60037873,Casa,360.0,5.0,4,4,5,Usado,Entre 5 y 10 años,1650000000,,2025-07-29T03:10:15.000Z,2025-08-20T14:31:02.000Z,2025-06-01T17:00:46.000Z,
18237-M5427398,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-san-bernardo-4-habitaciones-3-banos-2-garajes/18237-M5427398,Colombia,Antioquia,Medellín,SAN BERNARDO,,,6.2236838,-75.5936531,Apartamento,220.0,4.0,3,2,3,Usado,Más de 20 años,1000000000,250000.0,2025-08-10T03:10:23.000Z,2025-08-20T13:37:12.000Z,2024-11-22T09:36:38.000Z,
18237-M5483011,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-granada-3-habitaciones-1-banos-1-garajes/18237-M5483011,Colombia,Antioquia,Medellín,GRANADA,,,6.2292297,-75.5940045,Apartamento,93.0,3.0,1,1,3,Usado,Entre 0 y 5 años,370000000,,2025-08-06T03:10:31.000Z,2025-08-20T13:37:12.000Z,2024-12-17T09:52:10.000Z,
14973-M5952949,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-belen-la-mota-3-habitaciones-3-banos-1-garajes/14973-M5952949,Colombia,Antioquia,Medellín,BELEN LA MOTA,,,6.2173797026,-75.5977892711,Apartamento,93.0,3.0,3,1,5,Usado,Entre 0 y 5 años,540000000,668000.0,2025-07-23T09:23:20.000Z,2025-08-20T13:46:38.000Z,2025-07-23T09:23:20.000Z,
16187-M4517594,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-diego-echavarria-3-habitaciones-2-banos-1-garajes/16187-M4517594,Colombia,Antioquia,Medellín,DIEGO ECHAVARRIA,,Suroccidente,6.21699929,-75.59793397,Apartamento,89.0,3.0,2,1,5,Usado,Más de 20 años,430000000,660000.0,2025-08-04T09:24:43.000Z,2025-08-20T14:03:22.000Z,2023-08-10T17:59:39.000Z,
18237-M5796359,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-san-bernardo-3-habitaciones-2-banos/18237-M5796359,Colombia,Antioquia,Medellín,SAN BERNARDO,,,6.2256421,-75.5972238,Casa,118.0,3.0,2,0,4,Usado,Más de 20 años,580000000,,2025-08-03T03:10:32.000Z,2025-08-20T13:37:12.000Z,2025-06-06T20:39:19.000Z,
