id_inmueble,id_plataforma,url_anuncio,pais,departamento,ciudad,barrios,direccion,zona_ciudad,latitud,longitud,tipo_propiedad,area_total_m2,num_habitaciones,num_banos,num_parqueaderos,estrato,estado,antiguedad_construccion,precio_venta,precio_administracion,fecha_publicacion,fecha_actualizacion,fecha_ingreso,nombre_contacto
192462931,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-san-bernardo-medellin/192462931,Colombia,Antioquia,Medellín,"Urbanizacion rafael uribe uribe, Belén, Belen Las Playas, Belén San Bernardo, ",calle 20#72,,6.223631,-75.594226,Casa,140.0,4,3,0,3,Usado,4.0,620000000,0,2025-05-28,2025-07-09,2025-05-28,Arrendamientos e Inmobiliaria Alameda
191766935,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-san-bernardo-medellin/191766935,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ","Calle 24 #71A-56, Medellín, Antioquia, Colombia",,6.225645,-75.5932204,Apartamento,66.0,2,1,0,3,Usado,2.0,185000000,0,2024-12-06,2025-07-04,2024-12-06,Coseinpro
192695325,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-san-bernardo-medellin/192695325,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ","Calle 22 # 75-35, Medellín, Antioquia, Colombia",,6.225643,-75.596489,Apartamento,55.0,3,2,0,3,Usado,3.0,310000000,70000,2025-07-29,2025-07-29,2025-07-29,ARRENDAMIENTOS MEDELLIN
10571957,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-medellin/10571957,Colombia,Antioquia,Medellín,"Belén, Belen Las Playas, ",Calle 15 # 70-24,,6.221833219974,-75.593105516038,Casa,140.0,3,2,1,3,Usado,4.0,450000000,0,2024-02-09,2025-07-02,2024-02-09,Viva Inmobiliaria Asociados
191576328,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-medellin/191576328,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ",Calle  24 # 71 A 21,,6.22521451033,-75.593097189252,Casa,90.0,3,2,1,3,Usado,5.0,535000000,0,2024-10-16,2025-07-25,2024-10-16,CITY RAIZ
10975144,fincaraiz,https://www.fincaraiz.com.co/casa-lote-en-venta-en-belen-san-bernardo-medellin/10975144,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ","Carrera 76 #23-16, Medellín, Antioquia, Colombia",,6.2262737,-75.5967768,Casa,212.21,0,0,0,3,Usado,5.0,1380000000,0,2024-06-12,2025-07-02,2024-06-12,ARRENDAMIENTOS MEDELLIN
10602830,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-diego-echavarria-medellin/10602830,Colombia,Antioquia,Medellín,"Diego echavarria, Belén, Belen Las Playas, Aeroparque juan pablo ii, ","Carrera 70A #9a-28, Medellín, Antioquia, Colombia",,6.2171465,-75.5934958,Casa,119.0,3,2,1,3,Usado,5.0,600000000,0,2024-02-17,2025-07-02,2024-02-17,ARRENDAMIENTOS MEDELLIN
10706072,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-medellin/10706072,Colombia,Antioquia,Medellín,"Belén, ","Cl. 25 #79a-109, Medellín, Antioquia, Colombia",,6.2273734,-75.6001144,Casa,112.0,4,3,0,3,Usado,5.0,380000000,0,2024-03-19,2025-07-02,2024-03-19,Arrendamientos Santa Fe - Ventas
191677607,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-san-bernardo-medellin/191677607,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ",CALLE 22 # 71A-21,,6.2246048,-75.5935766,Casa,170.0,5,3,0,3,Usado,2.0,420000000,0,2024-11-13,2025-07-04,2024-11-13,Inmobiliaria Tobon
10800776,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-las-playas-medellin/10800776,Colombia,Antioquia,Medellín,"Urbanizacion rafael uribe uribe, Belén, Belen Las Playas, ","Las Playas, Medellín, Belén, Medellín, Antioquia, Colombia",,6.2201516,-75.595347,Casa,88.3,3,2,0,3,Nuevo,0.0,370000000,0,2024-04-19,2025-04-23,2024-04-19,Inmobiliaria Echeverry
191664746,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-medellin/191664746,Colombia,Antioquia,Medellín,"Belén, ",CL 24 # 72 - 28,,6.2259009734501,-75.593735384131,Casa,95.49,3,2,1,3,Usado,4.0,430000000,0,2024-11-09,2025-07-04,2024-11-09,Arrendamientos Santa Fe - Ventas
191809260,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-las-playas-medellin/191809260,Colombia,Antioquia,Medellín,"Belén, Belen Las Playas, ",CL 13 A 71 A 40 PISO 1,,6.2202869,-75.5938971,Casa,120.0,4,1,0,3,Nuevo,0.0,460000000,0,2024-12-18,2025-07-04,2024-12-18,INMOBILIARIA PROTEBIENES
11066418,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-medellin/11066418,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ","San Bernardo, Medellín, Belén, Medellin, Antioquia, Colombia",,6.2272696,-75.5960745,Casa,75.0,3,2,0,3,Nuevo,0.0,319400000,0,2024-07-23,2025-07-02,2024-07-23,EMPORIO BIENES Y CAPITALES S.A.S
10675504,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-medellin/10675504,Colombia,Antioquia,Medellín,"Belén, Belen La Palma, Belén San Bernardo, ",CL 25 79 A 109 PISO 2,,6.2273714,-75.600111,Casa,112.0,4,2,0,3,Usado,1.0,430000000,0,2024-03-09,2025-07-28,2024-03-09,Arrendamientos las vegas
10969447,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-medellin/10969447,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ","Carrera 76 #23-16, Medellín, Antioquia, Colombia",,6.2262737,-75.5967768,Casa,200.0,0,0,0,4,Usado,5.0,1380000000,0,2024-06-09,2025-07-14,2024-06-09,JULIAN VELASQUEZ
191085457,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-san-bernardo-medellin/191085457,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ","Calle 25 #75-51, Colombia, Medellín, Antioquia, Colombia",,6.2270365,-75.5961695,Casa,136.0,4,4,0,3,Usado,5.0,650000000,0,2024-07-03,2025-07-02,2024-07-03,JULIAN VELASQUEZ
10900425,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-las-playas-medellin/10900425,Colombia,Antioquia,Medellín,"Belen Las Playas, Belén, Aeroparque juan pablo ii, ",Calle 15 #70 -75,,6.220950929551,-75.593174302761,Casa,100.0,3,3,0,3,Usado,4.0,400000000,0,2024-05-20,2025-07-28,2024-05-20,Arrendamientos las vegas
10914609,fincaraiz,https://www.fincaraiz.com.co/bodega-en-venta-en-belen-san-bernardo-medellin/10914609,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ",Carrera 74 #24 -16,,6.226269540482,-75.594824615677,Bodega,550.0,2,2,4,6,Usado,4.0,2400000000,0,2024-05-23,2025-07-11,2024-05-23,BRIKSS SAS
10760914,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-alameda-medellin/10760914,Colombia,Antioquia,Medellín,"Belen Alameda, Belén, Belen Las Playas, Urbanizacion cazadiana, ",CR 75 A 32 A 136 CS,,6.2196622,-75.5980745,Casa,200.0,7,8,1,5,Nuevo,0.0,1400000000,0,2024-04-09,2025-07-02,2024-04-09,Arrendamientos El Castillo S.A.S
10570727,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-la-palma-medellin/10570727,Colombia,Antioquia,Medellín,"Belen La Palma, Belén, Belén San Bernardo, ",Calle 24 # 82A -48 Piso 1,,6.226812797164,-75.599911241708,Casa,183.0,4,3,1,5,Nuevo,0.0,690000000,0,2024-02-09,2025-07-02,2024-02-09,Viva Inmobiliaria Asociados
10851278,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-las-playas-medellin/10851278,Colombia,Antioquia,Medellín,"Urbanizacion rafael uribe uribe, Belén, Belen Las Playas, ","Las Playas, Belén, Medellín, Antioquia, Colombia",,6.2201516,-75.595347,Casa,102.3,3,2,1,3,Nuevo,0.0,440000000,0,2024-05-06,2025-04-23,2024-05-06,Inmobiliaria Echeverry
192569844,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-urbanizacion-quintas-del-sol-de-la-mota-medellin/192569844,Colombia,Antioquia,Medellín,"Urbanizacion quintas del sol de la mota, ","Cr75 # 2 B Sur-35, Medellín, Antioquia.
Urbanización santa Juana",,6.2236131,-75.5965674,Apartamento,67.0,3,2,1,3,Nuevo,0.0,385000000,395000,2025-06-25,2025-08-14,2025-06-25,KSTA INMOBILIARIA
192699518,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-las-playas-medellin/192699518,Colombia,Antioquia,Medellín,"Belen Las Playas, Belén, Belén San Bernardo, Aeroparque juan pablo ii, ",CALLE 25 70A- 38,,6.226291,-75.592322,Apartamento,85.0,3,2,0,4,Usado,2.0,420000000,0,2025-07-30,2025-07-30,2025-07-30,PANORAMA SAN JUAN
192668051,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-san-bernardo-medellin/192668051,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ",Carrera 75 #25 -41,,6.227318950814,-75.59572670905,Apartamento,120.0,4,3,0,3,Usado,4.0,500000000,0,2025-07-22,2025-07-22,2025-07-22,Mattis Inmobiliaria
