id_inmueble,id_plataforma,url_anuncio,pais,departamento,ciudad,barrios,direccion,latitud,longitud,tipo_propiedad,area_total_m2,num_habitaciones,num_banos,num_parqueaderos,estrato,estado,antiguedad_construccion,precio_venta,precio_administracion,fecha_publicacion,fecha_actualizacion,fecha_ingreso,nombre_contacto
3281895,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-san-bernardo-medellin-3281895,Colombia,Antioquia,Medellín,SAN BERNARDO,CL 24 77 29 AP 401,6.22536,-75.593001,Apartamento,50,2,2,0,3,,,215000000,0,2025-03-19T10:24:07.000Z,2025-03-19T10:24:07.000Z,2025-03-19T10:24:07.000Z,TU ESPACIO INMOBILIARIO  S A S
3415241,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3415241,Colombia,Antioquia,Medellín,SAN BERNARDO,carrera 76 23 16,6.22618,-75.596832,Casa,210.66,4,2,1,3,,,1380000000,0,2025-07-17T15:02:12.000Z,2025-07-17T15:02:12.000Z,2025-07-17T15:02:12.000Z,Nestor Raul Velásquez Restrepo
3391945,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3391945,Colombia,Antioquia,Medellín,SAN BERNARDO,CR 80 C 19 39 PISO 1,6.226747,-75.601193,Casa,105,5,4,1,3,,,540000000,0,2025-06-26T12:00:56.000Z,2025-06-26T12:00:56.000Z,2025-06-26T12:00:56.000Z,ACTIVOS & BIENES S.A.S
3391914,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-san-bernardo-medellin-3391914,Colombia,Antioquia,Medellín,SAN BERNARDO,CR 74 A 26 78,6.227648,-75.595106,Apartamento,63,3,1,0,3,,,235000000,0,2025-06-26T11:59:37.000Z,2025-06-26T11:59:37.000Z,2025-06-26T11:59:37.000Z,ACTIVOS & BIENES S.A.S
3423668,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3423668,Colombia,Antioquia,Medellín,SAN BERNARDO,CL 25 70 A 38 PISO 3,6.226616,-75.594025,Casa,85,3,2,0,3,,,420000000,0,2025-07-25T08:34:41.000Z,2025-07-25T08:34:41.000Z,2025-07-25T08:34:41.000Z,ARRENDAMIENTOS INTEGRIDAD
3070274,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3070274,Colombia,Antioquia,Medellín,SAN BERNARDO,Calle 25 #79a-109,6.227392,-75.600093,Casa,175,7,4,1,3,,,420000000,0,2024-08-20T11:22:01.000Z,2024-08-20T11:22:01.000Z,2024-08-20T11:22:01.000Z,ARQUILER S.A.S
2796777,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-2796777,Colombia,Antioquia,Medellín,SAN BERNARDO,CR 74 24 42 INT 302,6.226499,-75.59493,Casa,74,4,2,0,2,,,350000000,0,2023-09-08T15:33:00.000Z,2023-09-08T15:33:00.000Z,2023-09-08T15:33:00.000Z,INMOBILIARIA TRIANON S.A.S
3435165,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3435165,Colombia,Antioquia,Medellín,SAN BERNARDO,Calle 24 No. 71a - 21,6.225301,-75.593084,Casa,130,4,2,2,3,,,560000000,0,2025-08-05T16:46:16.000Z,2025-08-05T16:46:16.000Z,2025-08-05T16:46:16.000Z,VIVIENDO GRUPO INMOBILIARIO
3357238,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3357238,Colombia,Antioquia,Medellín,SAN BERNARDO,Cll23 #71A-80 ,6.225256,-75.593623,Casa,115,4,2,0,3,,,500000000,0,2025-05-26T16:19:28.000Z,2025-05-26T16:19:28.000Z,2025-05-26T16:19:28.000Z,DEHER HOME INMOBILIARIA
3202850,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3202850,Colombia,Antioquia,Medellín,SAN BERNARDO,Calle  24 # 71 A 21,6.225215,-75.593097,Casa,90,3,2,1,3,,,535000000,0,2024-12-19T12:39:36.000Z,2024-12-19T12:39:36.000Z,2024-12-19T12:39:36.000Z,CITY RAIZ S.A.S
3342736,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3342736,Colombia,Antioquia,Medellín,SAN BERNARDO,CR 79 A 23 20 INT 201,6.227084,-75.599608,Casa,142,4,1,0,3,,,365000000,0,2025-05-14T09:20:00.000Z,2025-05-14T09:20:00.000Z,2025-05-14T09:20:00.000Z,ARRENDAMIENTOS EL CASTILLO S.A.S.
2528349,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-2528349,Colombia,Antioquia,Medellín,LAS PLAYAS,CARRERA 72   13A- 06,6.220516,-75.594582,Apartamento,45,3,0,1,2,,,250000000,0,2022-11-11T10:44:33.000Z,2022-11-11T10:44:33.000Z,2022-11-11T10:44:33.000Z,Arrendamientos Panorama Belen
3345884,ciencuadras,https://www.ciencuadras.com/inmueble/local-en-venta-en-diego-echavarria-medellin-3345884,Colombia,Antioquia,Medellín,DIEGO ECHAVARRIA,DIAGONAL 75B 2A- 10,6.21373,-75.596359,Local,259,0,2,1,6,,,1850000000,0,2025-05-16T10:10:36.000Z,2025-05-16T10:10:36.000Z,2025-05-16T10:10:36.000Z,JCO INVERSIONES SAS
3444478,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-o-venta-en-las-playas-medellin-3444478,Colombia,Antioquia,Medellín,LAS PLAYAS,CR 60 50 25 PISO 1,6.218692,-75.592812,Apartamento,60.0,2,2,0,4,,,4000000000,0,2025-08-16T11:17:20.000Z,2025-08-16T11:17:20.000Z,2025-08-16T11:17:20.000Z,ARRENDAMIENTOS EL CASTILLO S.A.S.
